artifact,id,tokens,KL,NLL,reference_NLL,delta_NLL,top1_flip
28M_rtn_b4_g64,public_prompt_42,73,0.08204371482133865,1.782153844833374,1.6034846305847168,0.17866897583007812,0.13698630034923553
28M_rtn_b4_g64,public_prompt_43,61,0.0870940312743187,1.2736716270446777,1.3105212450027466,-0.03684968501329422,0.13114753365516663
28M_act_b4_g128,public_prompt_00,63,0.0622682049870491,2.4624698162078857,2.413591146469116,0.048878658562898636,0.0793650820851326
28M_act_b4_g128,public_prompt_01,42,0.061633069068193436,1.980629563331604,1.860412359237671,0.12021704018115997,0.1190476194024086
28M_act_b4_g128,public_prompt_02,80,0.062096815556287766,2.0463473796844482,2.0264322757720947,0.019915279000997543,0.125
28M_act_b4_g128,public_prompt_03,78,0.07752430438995361,2.2740142345428467,2.2190849781036377,0.05492937192320824,0.14102564752101898
28M_act_b4_g128,public_prompt_04,35,0.09701788425445557,2.950535297393799,2.8325865268707275,0.11794895678758621,0.1428571492433548
28M_act_b4_g128,public_prompt_05,49,0.0920301154255867,1.9635095596313477,1.9234999418258667,0.04000958055257797,0.2448979616165161
28M_act_b4_g128,public_prompt_06,31,0.12242891639471054,2.7437515258789062,2.587470054626465,0.1562817543745041,0.12903225421905518
28M_act_b4_g128,public_prompt_07,25,0.11407297849655151,2.6108226776123047,2.5187206268310547,0.09210216253995895,0.2800000011920929
28M_act_b4_g128,public_prompt_08,43,0.0554036870598793,1.903976559638977,1.7837692499160767,0.12020747363567352,0.1627907007932663
28M_act_b4_g128,public_prompt_09,26,0.07506971061229706,2.3533995151519775,2.48511004447937,-0.1317104697227478,0.11538461595773697
28M_act_b4_g128,public_prompt_10,33,0.0626724436879158,1.2724109888076782,1.2683120965957642,0.004098773002624512,0.1818181872367859
28M_act_b4_g128,public_prompt_11,45,0.132357656955719,2.594296932220459,2.469459295272827,0.12483777850866318,0.24444444477558136
28M_act_b4_g128,public_prompt_12,30,0.1112353727221489,3.4298439025878906,3.167114496231079,0.26272955536842346,0.13333334028720856
28M_act_b4_g128,public_prompt_13,30,0.06392782181501389,2.0206267833709717,1.9159024953842163,0.10472456365823746,0.10000000149011612
28M_act_b4_g128,public_prompt_14,48,0.06191482022404671,1.8293019533157349,1.7205514907836914,0.10875023156404495,0.0833333358168602
28M_act_b4_g128,public_prompt_15,70,0.09388913214206696,1.4699864387512207,1.3828270435333252,0.08715943992137909,0.08571428805589676
28M_act_b4_g128,public_prompt_16,58,0.06147067993879318,2.1745567321777344,2.1713435649871826,0.0032130994368344545,0.06896551698446274
28M_act_b4_g128,public_prompt_17,47,0.08527027070522308,1.9382383823394775,1.8519636392593384,0.08627472817897797,0.1489361673593521
28M_act_b4_g128,public_prompt_18,48,0.05448419973254204,1.8518205881118774,1.6671637296676636,0.1846570372581482,0.0625
28M_act_b4_g128,public_prompt_19,75,0.07271356880664825,1.6990184783935547,1.7211352586746216,-0.02211681753396988,0.1599999964237213
28M_act_b4_g128,public_prompt_20,77,0.09173024445772171,2.4748549461364746,2.30363130569458,0.17122381925582886,0.22077922523021698
28M_act_b4_g128,public_prompt_21,63,0.07286398857831955,1.8415510654449463,1.7370163202285767,0.10453469306230545,0.1111111119389534
28M_act_b4_g128,public_prompt_22,83,0.051529183983802795,1.0987178087234497,1.057115077972412,0.04160265251994133,0.048192769289016724
28M_act_b4_g128,public_prompt_23,72,0.06598804146051407,1.3927083015441895,1.3680490255355835,0.02465914748609066,0.0833333358168602
28M_act_b4_g128,public_prompt_24,79,0.05414942279458046,1.1932584047317505,1.1321942806243896,0.0610639825463295,0.1139240488409996
28M_act_b4_g128,public_prompt_25,99,0.05792878195643425,1.3159931898117065,1.280475378036499,0.035517942160367966,0.09090909361839294
28M_act_b4_g128,public_prompt_26,118,0.07216129451990128,1.5511270761489868,1.4552134275436401,0.09591363370418549,0.1525423675775528
28M_act_b4_g128,public_prompt_27,59,0.04691363498568535,1.109275221824646,1.0514684915542603,0.05780669301748276,0.050847455859184265
28M_act_b4_g128,public_prompt_28,81,0.055667124688625336,1.4262657165527344,1.3401585817337036,0.08610710501670837,0.1111111119389534
28M_act_b4_g128,public_prompt_29,105,0.07039083540439606,1.4725062847137451,1.4791494607925415,-0.006643362808972597,0.15238095819950104
28M_act_b4_g128,public_prompt_30,38,0.06473416090011597,2.260392904281616,2.215730905532837,0.04466189071536064,0.1315789520740509
28M_act_b4_g128,public_prompt_31,34,0.06054116040468216,1.7002778053283691,1.575264573097229,0.12501318752765656,0.14705882966518402
28M_act_b4_g128,public_prompt_32,44,0.05286594480276108,1.5030829906463623,1.4582417011260986,0.04484120011329651,0.06818182021379471
28M_act_b4_g128,public_prompt_33,74,0.10784813016653061,1.7024575471878052,1.6313740015029907,0.07108382880687714,0.13513512909412384
28M_act_b4_g128,public_prompt_34,92,0.05951142683625221,1.2828315496444702,1.2494921684265137,0.033339470624923706,0.1304347813129425
28M_act_b4_g128,public_prompt_35,88,0.06021372973918915,1.2849507331848145,1.22794771194458,0.0570032112300396,0.09090909361839294
28M_act_b4_g128,public_prompt_36,41,0.06352818757295609,1.3824571371078491,1.3811752796173096,0.0012818633113056421,0.024390242993831635
28M_act_b4_g128,public_prompt_37,38,0.11395452916622162,2.087761163711548,1.9372752904891968,0.15048573911190033,0.18421052396297455
28M_act_b4_g128,public_prompt_38,38,0.05715971067547798,1.4316474199295044,1.430587649345398,0.0010597000364214182,0.10526315867900848
28M_act_b4_g128,public_prompt_39,109,0.05429048091173172,1.422248125076294,1.3201929330825806,0.10205505788326263,0.11009174585342407
28M_act_b4_g128,public_prompt_40,102,0.04311829432845116,1.0137158632278442,1.0010985136032104,0.012617227621376514,0.10784313827753067
28M_act_b4_g128,public_prompt_41,58,0.054115962237119675,1.3056988716125488,1.2272225618362427,0.07847648113965988,0.13793103396892548
28M_act_b4_g128,public_prompt_42,73,0.06435742229223251,1.649817705154419,1.6034846305847168,0.04633297771215439,0.10958904027938843
28M_act_b4_g128,public_prompt_43,61,0.0457489937543869,1.3134099245071411,1.3105212450027466,0.002888757735490799,0.1147540956735611
28M_act_b4_g64,public_prompt_00,63,0.06415603309869766,2.437136650085449,2.413591146469116,0.023545632138848305,0.1111111119389534
28M_act_b4_g64,public_prompt_01,42,0.053056977689266205,1.9202581644058228,1.860412359237671,0.05984567478299141,0.1428571492433548
